surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
200.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.0034549999999999997,0.0005689093906210743,50162.33209919943,8290.002148433174
200.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.002015,0.00044161783907522754,29185.801609978887,6417.053761538171
200.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.0011899999999999999,0.0003059067625411721,17222.646011313216,4406.1376092023165
220.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.19156,0.002515300547072905,2778252.676212757,37035.61856364675
220.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.18800999999999998,0.003922257674242985,2727006.2938917927,58001.1351114568
220.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.174645,0.0026652688222272933,2534769.166206223,34675.45895594171
220.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.142775,0.003562358030412184,2070926.7510923657,51570.136282219566
220.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.09487,0.0028820862326848547,1372808.229440263,42348.738933091634
220.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.05723,0.001715594112223149,828907.3138487007,25712.72401135497
220.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.030335,0.0013842250349449757,440082.4021251847,19765.83410076805
220.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.01545,0.001305655713465561,224474.34162953327,19328.934549367463
220.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.0078049999999999994,0.0008988150093610095,113226.96947490638,13085.97864114358
220.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.0042450000000000005,0.0006549206460568936,61601.34184876701,9500.444073125129
220.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.001985,0.00043197831329581205,28755.951507613947,6302.246518357714
220.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.0009400000000000001,0.0003515379742907174,13616.695344863541,5072.257206153567
250.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.19064,0.002014003606331374,2761215.1091683838,28561.060890698893
250.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.18648499999999998,0.0024467540258795726,2705738.4403488464,39378.95557341872
250.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.174465,0.003384527487817089,2522747.4313241383,52090.752116162155
250.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.14138,0.003043301531318635,2056228.567980194,46197.06864954126
250.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.09537999999999999,0.0034870587817483686,1382378.1538859005,52672.439909550696
250.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.056604999999999996,0.00218040918419601,821651.8395931731,30768.35039198841
250.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.030264999999999997,0.002041226411537412,438415.4770482274,30459.17699464464
250.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.015224999999999999,0.0013552529381321366,221082.8190903381,19434.883082459095
250.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.00787,0.0008596817036432422,114087.27040196206,12508.127776949721
250.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.003855,0.0006142817800188754,55796.9045987344,9009.528148115302
250.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.001995,0.0003734265234568279,28954.22707646223,5427.895456119669
250.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.000965,0.00039373381336821166,13998.527758964754,5672.542084199989
