surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,ct_model_variant,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct_epsilon,ct_h2_release_rate_cm2_s,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
50.0,10000.0,1.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9557381049584678,86592972.26852377,0.9557381049584678,86592972.26852377,30901099.744575113,0.35685459148753057,-0.44750871099933254
50.0,10000.0,10.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9557381049584678,86592972.26852377,0.9557381049584678,86592972.26852377,30819033.8797534,0.35590687179767827,-0.4486636266210453
50.0,10000.0,100.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9557381049584678,86592972.26852377,0.9557381049584678,86592972.26852377,30727457.286168747,0.35484931953696275,-0.4499560232422679
60.0,10.0,0.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9172604026887703,83106.76763954623,0.9172604026887703,83106.76763954623,30749.9222297222,0.37000503211834573,-0.43179236942930566
60.0,10.0,1.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9172604026887703,83106.76763954623,0.9172604026887703,83106.76763954623,30930.00051415328,0.37217186268516694,-0.4292564639362723
60.0,10.0,10.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9172604026887703,83106.76763954623,0.9172604026887703,83106.76763954623,30406.56215700365,0.36587347842577783,-0.43666907067407257
60.0,10.0,100.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9172604026887703,83106.76763954623,0.9172604026887703,83106.76763954623,23563.67595267928,0.2835349830338792,-0.5473933494650077
60.0,100.0,0.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9172604026887703,831067.6763954622,0.9172604026887703,831067.6763954622,309051.862577272,0.37187327982445817,-0.4296050258402453
60.0,100.0,1.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9172604026887703,831067.6763954622,0.9172604026887703,831067.6763954622,307882.7027280116,0.37046646316864584,-0.4312511008291246
60.0,100.0,10.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9172604026887703,831067.6763954622,0.9172604026887703,831067.6763954622,307470.72938718006,0.36997074741344,-0.43183261306585907
