shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
126,anvil/generated_mrn_r8/config_shard_0126.yaml,150.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0126.csv,results/anvil_mrn_r8/raw_chunk_0126.csv
127,anvil/generated_mrn_r8/config_shard_0127.yaml,150.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0127.csv,results/anvil_mrn_r8/raw_chunk_0127.csv
128,anvil/generated_mrn_r8/config_shard_0128.yaml,150.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0128.csv,results/anvil_mrn_r8/raw_chunk_0128.csv
129,anvil/generated_mrn_r8/config_shard_0129.yaml,150.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0129.csv,results/anvil_mrn_r8/raw_chunk_0129.csv
130,anvil/generated_mrn_r8/config_shard_0130.yaml,150.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0130.csv,results/anvil_mrn_r8/raw_chunk_0130.csv
131,anvil/generated_mrn_r8/config_shard_0131.yaml,150.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0131.csv,results/anvil_mrn_r8/raw_chunk_0131.csv
132,anvil/generated_mrn_r8/config_shard_0132.yaml,180.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0132.csv,results/anvil_mrn_r8/raw_chunk_0132.csv
133,anvil/generated_mrn_r8/config_shard_0133.yaml,180.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0133.csv,results/anvil_mrn_r8/raw_chunk_0133.csv
134,anvil/generated_mrn_r8/config_shard_0134.yaml,180.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0134.csv,results/anvil_mrn_r8/raw_chunk_0134.csv
135,anvil/generated_mrn_r8/config_shard_0135.yaml,180.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0135.csv,results/anvil_mrn_r8/raw_chunk_0135.csv
136,anvil/generated_mrn_r8/config_shard_0136.yaml,180.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0136.csv,results/anvil_mrn_r8/raw_chunk_0136.csv
137,anvil/generated_mrn_r8/config_shard_0137.yaml,180.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0137.csv,results/anvil_mrn_r8/raw_chunk_0137.csv
138,anvil/generated_mrn_r8/config_shard_0138.yaml,180.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0138.csv,results/anvil_mrn_r8/raw_chunk_0138.csv
139,anvil/generated_mrn_r8/config_shard_0139.yaml,180.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0139.csv,results/anvil_mrn_r8/raw_chunk_0139.csv
140,anvil/generated_mrn_r8/config_shard_0140.yaml,180.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0140.csv,results/anvil_mrn_r8/raw_chunk_0140.csv
141,anvil/generated_mrn_r8/config_shard_0141.yaml,180.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0141.csv,results/anvil_mrn_r8/raw_chunk_0141.csv
142,anvil/generated_mrn_r8/config_shard_0142.yaml,180.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0142.csv,results/anvil_mrn_r8/raw_chunk_0142.csv
